"Datum";"Naam / Omschrijving";"Rekening";"Tegenrekening";"Code";"Af Bij";"Bedrag (EUR)";"Mutatiesoort";"Mededelingen";"Saldo na mutatie";"Tag"
"20260828";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"102,28";"Betaalautomaat";"";"5966,96";""
"20260825";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"25,16";"Betaalautomaat";"Pasvolgnr: 001";"6069,24";""
"20260823";"Shell Utrecht";"NL00INGB0001234567";"";"BA";"Af";"63,42";"Betaalautomaat";"";"6094,40";""
"20260821";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"111,60";"Betaalautomaat";"Pasvolgnr: 001";"6157,82";""
"20260821";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"27,69";"Betaalautomaat";"";"6269,42";""
"20260820";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"6297,11";""
"20260820";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"96,68";"Betaalautomaat";"Pasvolgnr: 001";"6697,11";""
"20260818";"Shell Utrecht";"NL00INGB0001234567";"";"BA";"Af";"50,15";"Betaalautomaat";"";"6793,79";""
"20260817";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"6843,94";""
"20260816";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"81,06";"iDEAL";"Bestelling";"6868,94";""
"20260813";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"13,38";"Betaalautomaat";"";"6950,00";""
"20260812";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"6963,38";""
"20260811";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"23,60";"Betaalautomaat";"Pasvolgnr: 001";"6993,37";""
"20260810";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"7016,97";""
"20260809";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"7315,37";""
"20260808";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"7333,36";""
"20260808";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"82,19";"Betaalautomaat";"Pasvolgnr: 001";"7347,35";""
"20260808";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"22,25";"Betaalautomaat";"Pasvolgnr: 001";"7429,54";""
"20260806";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7451,79";""
"20260805";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7520,29";""
"20260805";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"35,69";"Betaalautomaat";"";"7662,29";""
"20260805";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"45,74";"Betaalautomaat";"";"7697,98";""
"20260805";"Shell Utrecht";"NL00INGB0001234567";"";"BA";"Af";"70,66";"Betaalautomaat";"";"7743,72";""
"20260803";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"94,33";"Betaalautomaat";"Pasvolgnr: 001";"7814,38";""
"20260802";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"7908,71";""
"20260802";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"32,15";"Betaalautomaat";"Pasvolgnr: 001";"9154,01";""
"20260802";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"31,54";"Betaalautomaat";"";"9186,16";""
"20260801";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"9217,70";""
"20260801";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"7367,70";""
"20260801";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"70,06";"Betaalautomaat";"Pasvolgnr: 001";"5717,70";""
"20260728";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"112,42";"Betaalautomaat";"Pasvolgnr: 001";"5787,76";""
"20260726";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"52,70";"Betaalautomaat";"Pasvolgnr: 001";"5900,18";""
"20260726";"Uber Eats";"NL00INGB0001234567";"";"BA";"Af";"38,71";"Betaalautomaat";"";"5952,88";""
"20260725";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"112,20";"Betaalautomaat";"Pasvolgnr: 001";"5991,59";""
"20260723";"Thuisbezorgd.nl via Takeaway";"NL00INGB0001234567";"";"BA";"Af";"32,22";"Betaalautomaat";"";"6103,79";""
"20260722";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"75,26";"Betaalautomaat";"Pasvolgnr: 001";"6136,01";""
"20260721";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"54,88";"Betaalautomaat";"";"6211,27";""
"20260720";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"6266,15";""
"20260720";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"17,11";"Betaalautomaat";"Pasvolgnr: 001";"6666,15";""
"20260720";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"97,60";"Betaalautomaat";"Pasvolgnr: 001";"6683,26";""
